GT1,GT2,GT3,GT4,GT5
-7.714629173278808594e-01,-3.175320029258728027e-01,6.053332805633544922e+00,-5.490887761116027832e-01,-8.015214204788208008e-01
-7.243949770927429199e-01,1.554029703140258789e+00,7.435795307159423828e+00,-6.453111171722412109e-01,-7.493920326232910156e-01
4.774684011936187744e-01,1.080895304679870605e+00,6.549396991729736328e+00,2.000508159399032593e-01,-6.014281138777732849e-02
3.687886893749237061e-01,-3.100109398365020752e-01,7.364180564880371094e+00,1.497325580567121506e-02,2.093309611082077026e-01
-5.184782743453979492e-01,2.632081210613250732e-01,5.074668884277343750e+00,-7.656169533729553223e-01,-9.302557706832885742e-01
-5.288942456245422363e-01,1.306770563125610352e+00,5.710380077362060547e+00,-6.866819858551025391e-01,-7.269818186759948730e-01
-1.930022984743118286e-01,3.797599673271179199e-01,5.431600570678710938e+00,-4.616011381149291992e-01,-7.254653573036193848e-01
4.704213142395019531e-01,1.060159206390380859e+00,7.531332015991210938e+00,-2.640776708722114563e-02,7.536898553371429443e-02
-8.224283456802368164e-01,-3.463032245635986328e-01,7.129167079925537109e+00,-1.341726303100585938e+00,-1.115820646286010742e+00
-2.415305972099304199e-01,-9.087397158145904541e-02,7.374438285827636719e+00,-7.912439107894897461e-01,-8.166424036026000977e-01
-9.669580310583114624e-02,9.322810173034667969e-01,7.309915065765380859e+00,-1.100561115890741348e-02,-2.179782688617706299e-01
-2.975614964962005615e-01,2.437847107648849487e-01,7.531382560729980469e+00,-4.406822025775909424e-01,-4.758531749248504639e-01
-9.766300320625305176e-01,1.352129697799682617e+00,7.229295730590820312e+00,-1.088730931282043457e+00,-1.333869457244873047e+00
-3.218972980976104736e-01,1.234379291534423828e+00,7.496387958526611328e+00,-3.110469505190849304e-02,-3.288327455520629883e-01
-5.374517440795898438e-01,-4.291230738162994385e-01,7.810315608978271484e+00,-5.987254381179809570e-01,-8.416099548339843750e-01
5.870699882507324219e-01,-5.283234119415283203e-01,6.158931732177734375e+00,4.028247594833374023e-01,1.663851737976074219e-01
-2.019923925399780273e-01,1.003447532653808594e+00,5.144195556640625000e+00,-3.557472825050354004e-01,-2.563401162624359131e-01
2.597621977329254150e-01,1.592820525169372559e+00,7.533974647521972656e+00,3.840281367301940918e-01,1.741772592067718506e-01
4.274627268314361572e-01,-6.582064628601074219e-01,7.081073760986328125e+00,5.385411381721496582e-01,3.759044408798217773e-01
-6.561330556869506836e-01,-3.542634844779968262e-01,7.463006019592285156e+00,-5.726963877677917480e-01,-7.648916840553283691e-01
-6.185637116432189941e-01,9.180539250373840332e-01,6.511202335357666016e+00,-7.528079152107238770e-01,-7.629779577255249023e-01
-8.351434469223022461e-01,1.287238478660583496e+00,6.710293769836425781e+00,-5.714610219001770020e-01,-8.644679188728332520e-01
-1.706237494945526123e-01,1.637433767318725586e+00,5.131853580474853516e+00,-2.929435074329376221e-01,-2.988868653774261475e-01
-6.987386345863342285e-01,9.221085309982299805e-01,5.255189418792724609e+00,-8.602300882339477539e-01,-1.027734875679016113e+00
-1.804354488849639893e-01,-7.581141591072082520e-01,7.373385906219482422e+00,2.479989640414714813e-02,-2.713946402072906494e-01
-9.269963502883911133e-01,-3.864508271217346191e-01,6.875654220581054688e+00,-8.882704973220825195e-01,-9.845361709594726562e-01
-6.221760511398315430e-01,-1.865961849689483643e-01,7.610065460205078125e+00,-1.132258892059326172e+00,-1.320505976676940918e+00
-7.042437791824340820e-02,9.528900980949401855e-01,7.851633548736572266e+00,-1.162297055125236511e-01,-2.748361229896545410e-01
